SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,NB_OF_DAYS,DAILY_MEAN,NB_OF_INVOICES
0001BB,2020-01-03,2020-03-31,2759,"403,25",88,31.352272727272727,35
0001BB,2020-01-04,2020-04-30,2680,"390,79",117,22.905982905982906,35
0001BB,2020-01-05,2020-05-31,2797,"407,48",147,19.027210884353742,35
0001BB,2020-01-06,2020-06-30,2796,"407,77",176,15.886363636363637,35
0001BB,2020-01-07,2020-07-31,2952,"429,09",206,14.330097087378642,35
0001BB,2020-01-08,2020-08-31,3014,"435,98",236,12.771186440677965,35
0001BB,2020-01-09,2020-09-30,2857,"411,97",265,10.781132075471698,35
0001BB,2020-01-10,2020-10-31,2905,"413,41",295,9.847457627118644,35
0001BB,2020-01-11,2020-11-30,2755,"383,02",324,8.503086419753087,35
0001BR,2018-01-01,2018-01-31,2438,"266,43",30,81.26666666666667,35
0001BR,2018-01-02,2018-02-28,2211,"242,33",57,38.78947368421053,35
0001BR,2018-01-03,2018-03-31,2453,"267,95",87,28.195402298850574,35
0001BR,2018-01-04,2018-04-30,2414,"263,78",116,20.810344827586206,35
0001BR,2018-01-05,2018-05-31,2517,"274,62",146,17.23972602739726,35
0001BR,2018-01-06,2018-06-30,2461,"268,63",175,14.062857142857142,35
0001BR,2018-01-07,2018-07-31,2560,"279,26",205,12.487804878048781,35
0001BR,2018-01-08,2018-08-31,2597,"283,07",235,11.051063829787234,35
0001BR,2018-01-09,2018-09-30,2436,"267,99",264,9.227272727272727,35
0001BR,2018-01-10,2018-10-31,2497,"274,50",294,8.493197278911564,35
0001BR,2018-01-11,2018-11-30,2397,"263,82",323,7.421052631578948,35
0001BR,2018-01-12,2018-12-31,2452,"269,69",353,6.946175637393767,35
0001BR,2019-01-01,2019-01-31,2460,"264,03",30,82.0,35
0001BR,2019-01-02,2019-02-28,2229,"239,96",57,39.10526315789474,35
0001BR,2019-01-03,2019-03-31,2475,"265,56",87,28.448275862068964,35
0001BR,2019-01-04,2019-04-30,2410,"258,76",116,20.775862068965516,35
0001BR,2019-01-05,2019-05-31,2508,"268,92",146,17.17808219178082,35
0001BR,2019-01-06,2019-06-30,2529,"270,94",175,14.451428571428572,35
0001BR,2019-01-07,2019-07-31,2593,"277,63",205,12.648780487804878,35
0001BR,2019-01-08,2019-08-31,2603,"278,60",235,11.076595744680851,35
0001BR,2019-01-09,2019-09-30,2595,"277,20",264,9.829545454545455,35
0001BR,2019-01-10,2019-10-31,2708,"288,79",294,9.210884353741497,35
0001BR,2019-01-11,2019-11-30,2595,"277,07",323,8.034055727554179,35
0001BR,2019-01-12,2019-12-31,2648,"282,57",353,7.501416430594901,35
0001BR,2020-01-01,2020-01-31,2600,"330,81",30,86.66666666666667,35
0001BR,2020-01-02,2020-02-29,2445,"311,57",58,42.1551724137931,35
0001BR,2020-01-03,2020-03-31,2609,"330,32",88,29.647727272727273,35
0001BR,2020-01-04,2020-04-30,2629,"332,70",117,22.47008547008547,35
0001BR,2020-01-05,2020-05-31,2735,"345,77",147,18.60544217687075,35
0001BR,2020-01-06,2020-06-30,2687,"339,78",176,15.267045454545455,35
0001BR,2020-01-07,2020-07-31,2854,"360,33",206,13.854368932038835,35
0001BR,2020-01-08,2020-08-31,2886,"364,21",236,12.228813559322035,35
0001BR,2020-01-09,2020-09-30,2761,"348,79",265,10.418867924528302,35
0001BR,2020-01-10,2020-10-31,2802,"353,90",295,9.498305084745763,35
0001BR,2020-01-11,2020-11-30,2677,"338,44",324,8.262345679012345,35
0001KO,2018-01-01,2018-01-31,2179,"268,53",30,72.63333333333334,35
0001KO,2018-01-02,2018-02-28,1971,"243,47",57,34.578947368421055,35
0001KO,2018-01-03,2018-03-31,2191,"269,98",87,25.183908045977013,35
0001KO,2018-01-04,2018-04-30,2370,"291,55",116,20.43103448275862,35
0001KO,2018-01-05,2018-05-31,2647,"324,92",146,18.13013698630137,35
0001KO,2018-01-06,2018-06-30,2634,"323,35",175,15.051428571428572,35
0001KO,2018-01-07,2018-07-31,2799,"343,43",205,13.653658536585366,35
0001KO,2018-01-08,2018-08-31,2908,"356,57",235,12.374468085106383,35
0001KO,2018-01-09,2018-09-30,2483,"307,29",264,9.405303030303031,35
0001KO,2018-01-10,2018-10-31,2297,"284,72",294,7.812925170068027,35
0001KO,2018-01-11,2018-11-30,2130,"264,46",323,6.594427244582043,35
0001KO,2018-01-12,2018-12-31,2489,"308,02",353,7.050991501416431,35
0001KO,2019-01-01,2019-01-31,2679,"364,03",30,89.3,35
0001KO,2019-01-02,2019-02-28,2429,"330,63",57,42.6140350877193,35
0001KO,2019-01-03,2019-03-31,2648,"359,89",87,30.436781609195403,35
0001KO,2019-01-04,2019-04-30,2478,"337,18",116,21.362068965517242,35
0001KO,2019-01-05,2019-05-31,2535,"344,79",146,17.363013698630137,35
0001KO,2019-01-06,2019-06-30,2884,"391,43",175,16.48,35
0001KO,2019-01-07,2019-07-31,2872,"389,82",205,14.009756097560976,35
0001KO,2019-01-08,2019-08-31,2978,"403,99",235,12.672340425531916,35
0001KO,2019-01-09,2019-09-30,2529,"343,99",264,9.579545454545455,35
0001KO,2019-01-10,2019-10-31,2487,"338,38",294,8.459183673469388,35
0001KO,2019-01-11,2019-11-30,2384,"324,62",323,7.3808049535603715,35
0001KO,2019-01-12,2019-12-31,2463,"335,17",353,6.977337110481586,35
0001KO,2020-01-01,2020-01-31,2454,"331,90",30,81.8,35
0001KO,2020-01-02,2020-02-29,2377,"321,70",58,40.98275862068966,35
0001KO,2020-01-03,2020-03-31,2596,"350,71",88,29.5,35
0001KO,2020-01-04,2020-04-30,2675,"365,40",117,22.863247863247864,35
0001KO,2020-01-05,2020-05-31,2781,"375,22",147,18.918367346938776,35
0001KO,2020-01-06,2020-06-30,2989,"402,77",176,16.982954545454547,35
0001KO,2020-01-07,2020-07-31,3322,"446,89",206,16.12621359223301,35
0001KO,2020-01-08,2020-08-31,3109,"418,67",236,13.173728813559322,35
0001KO,2020-01-09,2020-09-30,2911,"392,44",265,10.984905660377358,35
0001KO,2020-01-10,2020-10-31,2747,"370,72",295,9.31186440677966,35
0001KO,2020-01-11,2020-11-30,2625,"354,55",324,8.101851851851851,35
0002BB,2018-01-01,2018-01-31,2376,"310,46",30,79.2,35
0002BB,2018-01-02,2018-02-28,2160,"283,07",57,37.89473684210526,35
0002BB,2018-01-03,2018-03-31,2390,"313,01",87,27.471264367816094,35
0002BB,2018-01-04,2018-04-30,2378,"311,80",116,20.5,35
0002BB,2018-01-05,2018-05-31,2529,"330,93",146,17.32191780821918,35
0002BB,2018-01-06,2018-06-30,2790,"363,65",175,15.942857142857143,35
0002BB,2018-01-07,2018-07-31,2988,"388,77",205,14.575609756097561,35
0002BB,2018-01-08,2018-08-31,3019,"393,19",235,12.846808510638297,35
0002BB,2018-01-09,2018-09-30,2873,"376,62",264,10.882575757575758,35
0002BB,2018-01-10,2018-10-31,2940,"384,79",294,10.0,35
0002BB,2018-01-11,2018-11-30,2821,"369,46",323,8.73374613003096,35
0002BB,2018-01-12,2018-12-31,3029,"395,45",353,8.580736543909348,35
0002BB,2019-01-01,2019-01-31,3033,"378,02",30,101.1,35
0002BB,2019-01-02,2019-02-28,2684,"339,51",57,47.08771929824562,35
0002BB,2019-01-03,2019-03-31,3008,"376,16",87,34.57471264367816,35
0002BB,2019-01-04,2019-04-30,2663,"332,01",116,22.95689655172414,35
0002BB,2019-01-05,2019-05-31,2741,"339,86",146,18.773972602739725,35
0002BB,2019-01-06,2019-06-30,2952,"364,23",175,16.86857142857143,35
0002BB,2019-01-07,2019-07-31,2914,"363,68",205,14.214634146341464,35
0002BB,2019-01-08,2019-08-31,2965,"368,84",235,12.617021276595745,35
0002BB,2019-01-09,2019-09-30,2819,"352,21",264,10.678030303030303,35
0002BB,2019-01-10,2019-10-31,2927,"364,86",294,9.95578231292517,35
0002BB,2019-01-11,2019-11-30,2773,"346,35",323,8.58513931888545,35
0002BB,2019-01-12,2019-12-31,2822,"351,90",353,7.994334277620396,35
0002BB,2020-01-01,2020-01-31,2830,"406,02",30,94.33333333333333,35
0002BB,2020-01-02,2020-02-29,2625,"378,86",58,45.258620689655174,35
0002BB,2020-01-03,2020-03-31,2734,"396,33",88,31.068181818181817,35
0002BB,2020-01-04,2020-04-30,2644,"382,45",117,22.5982905982906,35
0002BB,2020-01-05,2020-05-31,2753,"397,69",147,18.727891156462587,35
0002BB,2020-01-06,2020-06-30,2763,"399,57",176,15.698863636363637,35
0002BB,2020-01-07,2020-07-31,2904,"418,43",206,14.097087378640778,35
0002BB,2020-01-08,2020-08-31,2962,"425,38",236,12.55084745762712,35
0002BB,2020-01-09,2020-09-30,2828,"406,82",265,10.671698113207547,35
0002BB,2020-01-10,2020-10-31,2875,"412,79",295,9.745762711864407,35
0002BB,2020-01-11,2020-11-30,2739,"381,14",324,8.453703703703704,35
0002BR,2018-01-01,2018-01-31,2187,"239,96",30,72.9,35
0002BR,2018-01-02,2018-02-28,1985,"218,51",57,34.824561403508774,35
0002BR,2018-01-03,2018-03-31,2209,"242,16",87,25.39080459770115,35
0002BR,2018-01-04,2018-04-30,2151,"235,47",116,18.54310344827586,35
0002BR,2018-01-05,2018-05-31,2251,"245,79",146,15.417808219178083,35
0002BR,2018-01-06,2018-06-30,2207,"241,00",175,12.611428571428572,35
0002BR,2018-01-07,2018-07-31,2290,"249,83",205,11.170731707317072,35
0002BR,2018-01-08,2018-08-31,2316,"252,45",235,9.85531914893617,35
0002BR,2018-01-09,2018-09-30,2172,"239,10",264,8.227272727272727,35
0002BR,2018-01-10,2018-10-31,2216,"244,03",294,7.537414965986395,35
0002BR,2018-01-11,2018-11-30,2313,"254,38",323,7.1609907120743035,35
0002BR,2018-01-12,2018-12-31,2659,"290,96",353,7.53257790368272,35
0002BR,2019-01-01,2019-01-31,2662,"284,26",30,88.73333333333333,35
0002BR,2019-01-02,2019-02-28,2409,"257,94",57,42.26315789473684,35
0002BR,2019-01-03,2019-03-31,2707,"288,61",87,31.114942528735632,35
0002BR,2019-01-04,2019-04-30,2624,"279,83",116,22.620689655172413,35
0002BR,2019-01-05,2019-05-31,2715,"289,18",146,18.595890410958905,35
0002BR,2019-01-06,2019-06-30,2741,"291,44",175,15.662857142857144,35
0002BR,2019-01-07,2019-07-31,2812,"298,72",205,13.717073170731707,35
0002BR,2019-01-08,2019-08-31,2537,"269,82",235,10.795744680851064,35
0002BR,2019-01-09,2019-09-30,2414,"257,19",264,9.143939393939394,35
0002BR,2019-01-10,2019-10-31,2489,"265,07",294,8.465986394557824,35
0002BR,2019-01-11,2019-11-30,2410,"257,13",323,7.461300309597523,35
0002BR,2019-01-12,2019-12-31,2493,"265,86",353,7.062322946175637,35
0002BR,2020-01-01,2020-01-31,2513,"319,43",30,83.76666666666667,35
0002BR,2020-01-02,2020-02-29,2400,"305,19",58,41.37931034482759,35
0002BR,2020-01-03,2020-03-31,2646,"333,77",88,30.068181818181817,35
0002BR,2020-01-04,2020-04-30,2674,"337,00",117,22.854700854700855,35
0002BR,2020-01-05,2020-05-31,2651,"334,85",147,18.034013605442176,35
0002BR,2020-01-06,2020-06-30,2586,"326,84",176,14.693181818181818,35
0002BR,2020-01-07,2020-07-31,2751,"347,07",206,13.354368932038835,35
0002BR,2020-01-08,2020-08-31,2780,"350,62",236,11.779661016949152,35
0002BR,2020-01-09,2020-09-30,2660,"335,86",265,10.037735849056604,35
0002BR,2020-01-10,2020-10-31,2745,"346,36",295,9.305084745762711,35
0002BR,2020-01-11,2020-11-30,2628,"331,97",324,8.11111111111111,35
0002KO,2018-01-01,2018-01-31,2312,"286,36",30,77.06666666666666,35
0002KO,2018-01-02,2018-02-28,2086,"259,13",57,36.59649122807018,35
0002KO,2018-01-03,2018-03-31,2308,"285,88",87,26.528735632183906,35
0002KO,2018-01-04,2018-04-30,2245,"278,29",116,19.353448275862068,35
0002KO,2018-01-05,2018-05-31,2339,"289,61",146,16.02054794520548,35
0002KO,2018-01-06,2018-06-30,2278,"282,26",175,13.017142857142858,35
0002KO,2018-01-07,2018-07-31,2348,"290,86",205,11.453658536585365,35
0002KO,2018-01-08,2018-08-31,2368,"293,27",235,10.076595744680851,35
0002KO,2018-01-09,2018-09-30,2248,"280,57",264,8.515151515151516,35
0002KO,2018-01-10,2018-10-31,2300,"286,88",294,7.8231292517006805,35
0002KO,2018-01-11,2018-11-30,2595,"322,68",323,8.034055727554179,35
0002KO,2018-01-12,2018-12-31,2765,"343,31",353,7.8328611898017,35
0002KO,2019-01-01,2019-01-31,2766,"377,48",30,92.2,35
0002KO,2019-01-02,2019-02-28,2500,"341,94",57,43.85964912280702,35
0002KO,2019-01-03,2019-03-31,2652,"362,25",87,30.482758620689655,35
0002KO,2019-01-04,2019-04-30,2483,"339,67",116,21.405172413793103,35
0002KO,2019-01-05,2019-05-31,2548,"348,35",146,17.45205479452055,35
0002KO,2019-01-06,2019-06-30,2514,"343,81",175,14.365714285714287,35
0002KO,2019-01-07,2019-07-31,2557,"349,55",205,12.473170731707317,35
0002KO,2019-01-08,2019-08-31,2575,"351,96",235,10.957446808510639,35
0002KO,2019-01-09,2019-09-30,2473,"338,33",264,9.367424242424242,35
0002KO,2019-01-10,2019-10-31,2550,"348,62",294,8.673469387755102,35
0002KO,2019-01-11,2019-11-30,2462,"336,86",323,7.622291021671827,35
0002KO,2019-01-12,2019-12-31,2520,"344,61",353,7.138810198300283,35
0002KO,2020-01-01,2020-01-31,2524,"343,21",30,84.13333333333334,35
0002KO,2020-01-02,2020-02-29,2437,"331,69",58,42.01724137931034,35
0002KO,2020-01-03,2020-03-31,2623,"356,33",88,29.806818181818183,35
0002KO,2020-01-04,2020-04-30,2632,"357,52",117,22.495726495726494,35
0002KO,2020-01-05,2020-05-31,2715,"368,52",147,18.46938775510204,35
0002KO,2020-01-06,2020-06-30,2655,"360,57",176,15.085227272727273,35
0002KO,2020-01-07,2020-07-31,2794,"378,98",206,13.563106796116505,35
0002KO,2020-01-08,2020-08-31,2845,"385,74",236,12.055084745762711,35
0002KO,2020-01-09,2020-09-30,2726,"369,97",265,10.28679245283019,35
0002KO,2020-01-10,2020-10-31,2797,"379,38",295,9.48135593220339,35
0002KO,2020-01-11,2020-11-30,2678,"363,62",324,8.265432098765432,35
0003BB,2018-01-01,2018-01-31,2100,"271,90",30,70.0,35
0003BB,2018-01-02,2018-02-28,1897,"246,46",57,33.280701754385966,35
0003BB,2018-01-03,2018-03-31,2103,"272,70",87,24.17241379310345,35
0003BB,2018-01-04,2018-04-30,2062,"267,67",116,17.775862068965516,35
0003BB,2018-01-05,2018-05-31,2144,"278,24",146,14.684931506849315,35
0003BB,2018-01-06,2018-06-30,2409,"311,78",175,13.765714285714285,35
0003BB,2018-01-07,2018-07-31,2675,"345,06",205,13.048780487804878,35
0003BB,2018-01-08,2018-08-31,2701,"348,81",235,11.493617021276595,35
0003BB,2018-01-09,2018-09-30,2147,"280,38",264,8.132575757575758,35
0003BB,2018-01-10,2018-10-31,3052,"394,40",294,10.380952380952381,35
0003BB,2018-01-11,2018-11-30,2527,"327,92",323,7.823529411764706,35
0003BB,2018-01-12,2018-12-31,2742,"354,90",353,7.767705382436261,35
0003BB,2019-01-01,2019-01-31,2729,"337,04",30,90.96666666666667,35
0003BB,2019-01-02,2019-02-28,2353,"291,99",57,41.280701754385966,35
0003BB,2019-01-03,2019-03-31,2587,"319,91",87,29.735632183908045,35
0003BB,2019-01-04,2019-04-30,2392,"296,52",116,20.620689655172413,35
0003BB,2019-01-05,2019-05-31,2476,"306,30",146,16.958904109589042,35
0003BB,2019-01-06,2019-06-30,2673,"331,24",175,15.274285714285714,35
0003BB,2019-01-07,2019-07-31,2849,"352,67",205,13.897560975609757,35
0003BB,2019-01-08,2019-08-31,2868,"354,63",235,12.204255319148936,35
0003BB,2019-01-09,2019-09-30,2739,"338,53",264,10.375,35
0003BB,2019-01-10,2019-10-31,2832,"349,45",294,9.63265306122449,35
0003BB,2019-01-11,2019-11-30,2700,"333,53",323,8.359133126934985,35
0003BB,2019-01-12,2019-12-31,2764,"341,07",353,7.830028328611898,35
0003BB,2020-01-01,2020-01-31,2765,"392,85",30,92.16666666666667,35
0003BB,2020-01-02,2020-02-29,2544,"364,42",58,43.86206896551724,35
0003BB,2020-01-03,2020-03-31,2671,"383,97",88,30.352272727272727,35
0003BB,2020-01-04,2020-04-30,2608,"373,97",117,22.29059829059829,35
0003BB,2020-01-05,2020-05-31,2691,"385,30",147,18.306122448979593,35
0003BB,2020-01-06,2020-06-30,2663,"381,63",176,15.130681818181818,35
0003BB,2020-01-07,2020-07-31,2789,"398,15",206,13.53883495145631,35
0003BB,2020-01-08,2020-08-31,2839,"404,26",236,12.029661016949152,35
0003BB,2020-01-09,2020-09-30,2709,"386,06",265,10.222641509433963,35
0003BB,2020-01-10,2020-10-31,2765,"393,20",295,9.372881355932204,35
0003BB,2020-01-11,2020-11-30,2642,"366,39",324,8.154320987654321,35
0003BR,2018-01-01,2018-01-31,2437,"266,44",30,81.23333333333333,35
0003BR,2018-01-02,2018-02-28,2206,"241,91",57,38.70175438596491,35
0003BR,2018-01-03,2018-03-31,2446,"267,32",87,28.114942528735632,35
0003BR,2018-01-04,2018-04-30,2423,"264,79",116,20.887931034482758,35
0003BR,2018-01-05,2018-05-31,2532,"276,25",146,17.34246575342466,35
0003BR,2018-01-06,2018-06-30,2478,"270,43",175,14.16,35
0003BR,2018-01-07,2018-07-31,2556,"278,84",205,12.46829268292683,35
0003BR,2018-01-08,2018-08-31,2598,"283,15",235,11.05531914893617,35
0003BR,2018-01-09,2018-09-30,2453,"269,79",264,9.291666666666666,35
0003BR,2018-01-10,2018-10-31,2506,"275,51",294,8.523809523809524,35
0003BR,2018-01-11,2018-11-30,2409,"265,07",323,7.458204334365325,35
0003BR,2018-01-12,2018-12-31,2455,"270,01",353,6.954674220963173,35
0003BR,2019-01-01,2019-01-31,2467,"264,75",30,82.23333333333333,35
0003BR,2019-01-02,2019-02-28,2237,"240,77",57,39.24561403508772,35
0003BR,2019-01-03,2019-03-31,2494,"267,47",87,28.666666666666668,35
0003BR,2019-01-04,2019-04-30,2426,"260,39",116,20.913793103448278,35
0003BR,2019-01-05,2019-05-31,2526,"270,73",146,17.301369863013697,35
0003BR,2019-01-06,2019-06-30,2566,"274,67",175,14.662857142857144,35
0003BR,2019-01-07,2019-07-31,2618,"280,06",205,12.770731707317074,35
0003BR,2019-01-08,2019-08-31,2615,"279,72",235,11.127659574468085,35
0003BR,2019-01-09,2019-09-30,2484,"266,17",264,9.409090909090908,35
0003BR,2019-01-10,2019-10-31,2736,"291,59",294,9.306122448979592,35
0003BR,2019-01-11,2019-11-30,2617,"279,31",323,8.102167182662539,35
0003BR,2019-01-12,2019-12-31,2660,"283,77",353,7.5354107648725215,35
0003BR,2020-01-01,2020-01-31,2662,"338,47",30,88.73333333333333,35
0003BR,2020-01-02,2020-02-29,2524,"321,27",58,43.51724137931034,35
0003BR,2020-01-03,2020-03-31,2694,"340,71",88,30.613636363636363,35
0003BR,2020-01-04,2020-04-30,2704,"341,86",117,23.11111111111111,35
0003BR,2020-01-05,2020-05-31,2801,"353,83",147,19.05442176870748,35
0003BR,2020-01-06,2020-06-30,2743,"346,60",176,15.585227272727273,35
0003BR,2020-01-07,2020-07-31,2920,"368,35",206,14.174757281553399,35
0003BR,2020-01-08,2020-08-31,2872,"362,49",236,12.169491525423728,35
0003BR,2020-01-09,2020-09-30,2818,"355,93",265,10.633962264150943,35
0003BR,2020-01-10,2020-10-31,2862,"361,39",295,9.701694915254237,35
0003BR,2020-01-11,2020-11-30,2739,"346,21",324,8.453703703703704,35
0003KO,2018-01-01,2018-03-31,6293,"985,04",89,70.70786516853933,11
0003KO,2018-01-04,2018-06-30,7082,"1 118,25",177,40.01129943502825,11
0003KO,2018-01-07,2018-09-30,6740,"1 066,96",266,25.338345864661655,11
0003KO,2018-01-10,2018-12-31,8423,"1 331,26",355,23.72676056338028,11
0003KO,2019-01-01,2019-03-31,7883,"1 373,30",89,88.57303370786516,11
0003KO,2019-01-04,2019-06-30,7024,"1 229,28",177,39.68361581920904,11
0003KO,2019-01-07,2019-09-30,7143,"1 251,45",266,26.853383458646615,11
0003KO,2019-01-10,2019-12-31,7707,"1 345,33",355,21.70985915492958,11
0003KO,2020-01-01,2020-03-31,6561,"1 058,29",90,72.9,11
0003KO,2020-01-04,2020-06-30,7511,"1 220,24",178,42.19662921348315,11
0003KO,2020-01-07,2020-09-30,7823,"1 270,14",267,29.299625468164795,11
0004BB,2018-01-01,2018-01-31,14414,"1 369,33",30,480.46666666666664,36
0004BB,2018-01-02,2018-02-28,12328,"1 171,16",57,216.28070175438597,36
0004BB,2018-01-03,2018-03-31,12849,"1 220,66",87,147.68965517241378,36
0004BB,2018-01-04,2018-04-30,14535,"1 380,83",116,125.30172413793103,36
0004BB,2018-01-05,2018-05-31,14547,"1 381,97",146,99.63698630136986,36
0004BB,2018-01-06,2018-06-30,14379,"1 366,01",175,82.16571428571429,36
0004BB,2018-01-07,2018-07-31,15907,"1 511,17",205,77.59512195121951,36
0004BB,2018-01-08,2018-08-31,15701,"1 491,60",235,66.81276595744681,36
0004BB,2018-01-09,2018-09-30,15544,"1 476,68",264,58.878787878787875,36
0004BB,2018-01-10,2018-10-31,14691,"1 395,65",294,49.96938775510204,36
0004BB,2018-01-11,2018-11-30,14728,"1 399,16",323,45.59752321981424,36
0004BB,2018-01-12,2018-12-31,15174,"1 441,53",353,42.98583569405099,36
0004BB,2019-01-01,2019-01-31,9410,"1 246,83",30,313.6666666666667,36
0004BB,2019-01-01,2019-01-31,15297,"2 026,85",30,509.9,36
0004BB,2019-01-02,2019-02-28,13756,"1 822,67",57,241.33333333333334,36
0004BB,2019-01-03,2019-03-31,15810,"2 094,83",87,181.72413793103448,36
0004BB,2019-01-04,2019-04-30,14090,"1 866,93",116,121.46551724137932,36
0004BB,2019-01-05,2019-05-31,14081,"1 865,73",146,96.44520547945206,36
0004BB,2019-01-06,2019-06-30,17034,"2 257,01",175,97.33714285714285,36
0004BB,2019-01-07,2019-07-31,14906,"1 975,05",205,72.71219512195123,36
0004BB,2019-01-08,2019-08-31,14638,"1 939,54",235,62.28936170212766,36
0004BB,2019-01-09,2019-09-30,11200,"1 484,00",264,42.42424242424242,36
0004BB,2019-01-10,2019-10-31,12068,"1 599,01",294,41.04761904761905,36
0004BB,2019-01-11,2019-11-30,11184,"1 481,88",323,34.62538699690403,36
0004BB,2019-01-12,2019-12-31,9904,"1 312,28",353,28.056657223796034,36
0004BB,2020-01-01,2020-01-31,9410,"1 246,83",30,313.6666666666667,36
0004BB,2020-01-02,2020-02-29,9465,"1 254,11",58,163.18965517241378,36
0004BB,2020-01-03,2020-03-31,8849,"1 172,49",88,100.55681818181819,36
0004BB,2020-01-04,2020-04-30,9214,"1 220,86",117,78.75213675213675,36
0004BB,2020-01-05,2020-05-31,9883,"1 309,50",147,67.2312925170068,36
0004BB,2020-01-06,2020-06-30,9050,"1 199,13",176,51.42045454545455,36
0004BB,2020-01-07,2020-07-31,9809,"1 299,69",206,47.616504854368934,36
0004BB,2020-01-08,2020-08-31,9962,"1 319,97",236,42.21186440677966,36
0004BB,2020-01-09,2020-09-30,9092,"1 204,69",265,34.30943396226415,36
0004BB,2020-01-10,2020-10-31,8640,"1 144,80",295,29.28813559322034,36
0004BB,2020-01-11,2020-11-30,8720,"1 155,40",324,26.91358024691358,36
0004BR,2018-01-01,2018-01-31,2276,"244,43",30,75.86666666666666,35
0004BR,2018-01-02,2018-02-28,2057,"221,74",57,36.08771929824562,35
0004BR,2018-01-03,2018-03-31,2284,"245,26",87,26.25287356321839,35
0004BR,2018-01-04,2018-04-30,2253,"242,04",116,19.42241379310345,35
0004BR,2018-01-05,2018-05-31,2345,"251,58",146,16.061643835616437,35
0004BR,2018-01-06,2018-06-30,2297,"252,33",175,13.125714285714286,35
0004BR,2018-01-07,2018-07-31,2389,"262,18",205,11.653658536585366,35
0004BR,2018-01-08,2018-08-31,2414,"264,73",235,10.272340425531915,35
0004BR,2018-01-09,2018-09-30,2292,"253,64",264,8.681818181818182,35
0004BR,2018-01-10,2018-10-31,2355,"260,41",294,8.010204081632653,35
0004BR,2018-01-11,2018-11-30,2256,"249,82",323,6.984520123839009,35
0004BR,2018-01-12,2018-12-31,2310,"255,61",353,6.543909348441926,35
0004BR,2019-01-01,2019-01-31,2313,"249,80",30,77.1,35
0004BR,2019-01-02,2019-02-28,2098,"227,38",57,36.80701754385965,35
0004BR,2019-01-03,2019-03-31,2326,"251,13",87,26.735632183908045,35
0004BR,2019-01-04,2019-04-30,2264,"244,61",116,19.517241379310345,35
0004BR,2019-01-05,2019-05-31,2353,"253,85",146,16.116438356164384,35
0004BR,2019-01-06,2019-06-30,2347,"253,04",175,13.411428571428571,35
0004BR,2019-01-07,2019-07-31,2402,"258,77",205,11.717073170731707,35
0004BR,2019-01-08,2019-08-31,2403,"258,84",235,10.225531914893617,35
0004BR,2019-01-09,2019-09-30,2280,"246,13",264,8.636363636363637,35
0004BR,2019-01-10,2019-10-31,2610,"279,47",294,8.877551020408163,35
0004BR,2019-01-11,2019-11-30,2522,"270,28",323,7.808049535603715,35
0004BR,2019-01-12,2019-12-31,2588,"277,13",353,7.331444759206799,35
0004BR,2020-01-01,2020-01-31,2599,"331,44",30,86.63333333333334,35
0004BR,2020-01-02,2020-02-29,2454,"313,42",58,42.310344827586206,35
0004BR,2020-01-03,2020-03-31,2603,"330,33",88,29.579545454545453,35
